fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,12,HARYANA,1210,GURUGRAM,31450,380.5594761,30,0,78.0384935,12,105,174,14964,7415,1960,0,0,4.50799,139.4934035,491,526,3017,3870,0,14115,18282,186,56.94692,10484,0,36.03,0,100,NA
2024-2025,July,12,HARYANA,1217,PANCHKULA,47550,387.7086643,20,0,42.3302641,81,53,246,30343,8965,2936,0,0,16.50039,176.4730941,1471,1635,6293,10798,0,17156,25636,327,117.64244,9780,30,50.87,15.11,99.98,NA
2024-2025,July,12,HARYANA,1219,MEWAT,186710,472.2548393,21,1,2557.204141,40,197,2092,119181,432,793,0,0,60.77615,3180.818331,5595,6575,54472,63505,0,149984,192264,2132,562.83804,52839,15,19.14,7.43,99.23,NA
2024-2025,July,12,HARYANA,1214,JIND,305050,345.18668,13,15,1221.188708,891,12,1794,194556,108735,49091,0,0,43.58476,1936.354865,14664,17734,39752,86499,0,68097,137023,2685,671.5813971,133065,13,50.67,34.13,99.42,NA
2024-2025,July,12,HARYANA,1222,CHARKI DADRI,49200,373.1362335,15,2,55.8410924,36,88,534,27012,13067,7148,0,0,13.08379,169.7164418,1777,2153,9229,16531,0,30693,53337,570,100.7915594,16065,1,94.21,0.52,99.83,NA
2024-2025,July,12,HARYANA,1202,YAMUNANAGAR,122765,433.3510587,24,0,92.165151,86,371,304,42374,11982,9343,0,0,20.45555,296.2488786,1741,2238,13306,23977,0,47522,75996,390,183.6281776,15603,25,64.62,11.99,100.85,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,320.7125987,16,2,355.236425,323,44,470,69674,36295,16511,0,0,29.52667,608.216391,4120,5188,18042,34178,0,42401,71708,793,223.453296,45504,15,51.72,16.14,99.98,NA
2024-2025,July,12,HARYANA,1215,HISAR,609795,469.8716191,14,57,2689.221409,366,26,4047,407293,228380,84114,0,0,68.23607,4671.211692,28899,38185,69254,148615,1,120036,238376,4413,1913.754213,268192,6,49.66,15.91,99.81,NA
2024-2025,July,12,HARYANA,1201,AMBALA,51525,376.3462163,13,1,2.6381695,150,285,470,19243,11616,9787,0,0,22.4973,97.5557719,1460,1641,10012,16251,0,37379,52255,620,72.4203024,12533,35,54.22,29.5,99.61,NA
2024-2025,July,12,HARYANA,1203,KURUKSHETRA,275560,343.3220262,19,7,126.1741399,135,181,1256,119210,43438,19550,0,0,32.15929,567.6076173,6215,8105,23298,51651,0,63516,121626,1391,409.2741874,80953,17,64.59,12.24,100.51,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,530.8874867,11,22,31.5401311,182,99,1891,84062,43037,36634,0,0,26.21377,504.0285402,7577,9711,36400,75771,0,67983,126020,2073,446.2746391,58990,44,84.68,7.33,100.6,NA
2024-2025,July,12,HARYANA,1205,KARNAL,480620,426.0501581,13,2,60.88337528,173,217,1443,60898,29104,51411,0,0,33.49902,353.8384206,4540,5586,44275,91633,0,91584,166679,1616,259.4560253,43751,20,58.04,15.34,102.74,NA
2024-2025,July,12,HARYANA,1210,GURUGRAM,31450,377.388466,29,0,78.0384935,12,104,175,15502,7868,1967,0,0,4.50799,141.0492435,522,560,3026,3880,0,14117,18284,187,58.50276,10882,0,38.2,0,99.93,NA
2024-2025,July,12,HARYANA,1211,REWARI,57080,473.8595468,17,0,0.62806,4,308,525,18227,12816,8589,0,0,17.27762,104.2760596,1070,1245,7405,13729,0,40143,77172,529,86.3703796,14149,6,86.75,9.7,101.07,NA
2024-2025,July,12,HARYANA,1217,PANCHKULA,47550,377.3600497,21,0,42.3302641,81,53,247,32190,9268,2938,0,0,16.50039,180.3028541,1496,1664,6298,10804,0,17158,25637,328,121.4722,10022,30,50.72,14.28,99.86,NA
2024-2025,June,12,HARYANA,1202,YAMUNANAGAR,92700,457.7817776,23,0,78.324314,79,377,309,39108,10923,9320,0,0,19.87861,277.2322216,1651,2126,13281,23940,0,47490,75933,388,179.0292976,14335,26,64.64,11.47,100.1,NA
2024-2025,June,12,HARYANA,1205,KARNAL,332620,719.2562063,12,2,54.19527808,136,241,1357,24480,14782,51302,0,0,26.98954,257.2587374,2015,2356,44209,91393,0,91427,166310,1493,176.0739193,18074,22,22.16,28.83,103.66,NA
2024-2025,June,12,HARYANA,1206,PANIPAT,139545,323.0908994,15,0,323.0350468,277,51,505,50447,27101,16463,0,0,29.40904,515.4337528,3169,3937,17992,34080,0,42353,71619,782,162.989666,33472,15,45.6,17.85,99.98,NA
2024-2025,June,12,HARYANA,1208,ROHTAK,233250,1115.626586,13,1,180.5566239,176,72,704,13026,5601,21717,0,0,18.68721,344.565353,974,1173,21901,40123,0,42017,70573,880,145.3215191,7212,13,65.18,14.6,115.23,NA
